id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1533,0,1,1,0,0,0,1,0.25,0,1,1,2,1,0,4,0,1,1,10.24,7.0,501.89,0.02,20,0.14,27.88,71.7,1,0,0,3,0.17,7,13,4,8,6,0.0,4,False
1534,1,1,2,3,0,0,1,0.25,0,1,1,3,1,0,1,0,1,1,19.02,2.0,76.08,0.01,12,0.5,4.23,38.04,1,0,0,4,0.14,5,7,5,4,7,75.0,4,False
1535,1,3,3,0,0,4,2,0.2,2,2,1,8,1,0,10,0,2,1,25.32,5.6,793.95,0.05,34,0.18,44.11,141.78,0,1,2,8,0.17,14,20,10,8,12,0.0,10,False
1536,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,1.0,0,0,0,0,1,0.0,0,False
1537,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,1,1,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,1,0,0,2,0.2,2,6,2,5,5,0.0,2,False
1538,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
1539,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
1540,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
1541,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,3,0.5,0,0,0,0,2,0.0,0,False
1542,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.5,2,3,2,3,2,0.0,1,False
1543,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,1,0,0,2,1.0,0,3,0,3,1,0.0,0,False
1544,0,1,2,0,0,0,1,0.25,0,1,1,3,1,0,4,1,1,1,22.31,4.95,546.71,0.04,26,0.2,30.37,110.45,1,0,0,4,0.17,11,15,10,9,6,0.0,4,False
1545,7,13,10,2,9,24,7,0.21,12,5,0,43,1,0,31,0,0,0,73.7,13.26,12966.91,0.33,178,0.08,720.38,977.55,0,6,12,38,0.14,82,96,34,11,51,26.19,33,False
1546,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
1547,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1548,3,9,6,3,1,16,5,0.19,8,4,0,26,1,0,24,0,0,0,51.6,10.12,5284.28,0.17,101,0.1,293.57,522.15,0,4,8,23,0.15,46,55,25,11,33,14.29,27,False
1549,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1550,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,11.86,3.5,145.3,0.01,12,0.29,8.07,41.51,1,0,0,3,0.5,4,8,4,7,2,0.0,0,False
1551,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1552,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1553,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1554,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1555,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,8.6,7.5,483.97,0.02,18,0.13,26.89,64.53,1,0,0,2,0.5,5,13,3,9,2,0.0,0,False
1556,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,3.0,1.0,3.0,0.0,3,1.0,0.17,3.0,1,0,0,2,0.25,2,1,1,1,4,0.0,2,False
1557,1,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.2,2,3,2,3,5,0.0,2,False
1558,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1559,6,17,12,2,5,30,9,0.23,14,5,0,51,1,0,37,0,9,1,78.21,15.38,18496.28,0.4,209,0.07,1027.56,1202.77,0,8,15,44,0.17,97,112,41,13,52,15.91,39,False
1560,1,1,0,1,0,0,1,0.14,0,1,1,5,1,0,6,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.1,11,18,7,7,10,14.29,7,False
1561,0,1,2,0,0,0,1,1.0,0,1,1,4,1,0,0,0,1,1,10.68,4.67,232.53,0.02,15,0.21,12.92,49.83,1,0,0,5,0.5,4,11,3,7,2,0.0,0,False
1562,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,21.25,2.4,122.4,0.02,17,0.42,6.8,51.0,1,0,0,2,0.14,8,9,5,3,7,0.0,5,False
1563,0,5,3,0,0,8,3,0.5,4,3,1,11,1,0,6,0,3,1,30.72,9.0,2488.36,0.09,62,0.11,138.24,276.48,0,2,4,10,0.3,18,44,11,11,10,0.0,6,False
1564,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,1,0,0,2,1.0,4,7,4,4,1,0.0,0,False
1565,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
1566,4,7,1,1,8,12,4,0.17,6,1,0,20,1,0,23,0,4,1,25.56,20.0,10223.25,0.17,113,0.05,567.96,511.16,0,3,6,18,0.11,52,61,13,10,38,28.13,24,False
1567,16,10,0,22,13,8,7,0.16,4,1,0,20,1,0,21,2,0,0,28.4,22.92,14912.49,0.22,129,0.04,828.47,650.73,0,2,4,15,0.09,55,74,18,15,74,62.5,43,True
1568,2,13,4,1,8,24,7,0.13,12,6,0,30,6,0,54,0,5,0,25.11,40.0,40181.42,0.33,184,0.03,2232.3,1004.54,0,6,12,25,0.1,80,104,22,22,68,14.29,55,False
1569,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,0,0,0,24.33,1.5,54.74,0.01,13,0.67,3.04,36.5,1,0,0,2,0.14,4,9,4,3,7,0.0,5,False
1570,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1571,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,0,0,3,1.0,1,6,1,6,1,0.0,0,False
1572,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1573,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,3,0.5,0,0,0,0,2,0.0,0,False
1574,0,3,2,0,0,6,2,0.25,2,2,1,6,1,0,8,0,2,1,23.46,10.29,2485.24,0.08,52,0.1,138.07,241.48,0,2,3,6,0.2,19,33,12,13,10,0.0,8,False
1575,0,7,1,0,0,12,4,0.67,6,3,0,12,1,0,6,0,0,0,14.76,4.5,298.97,0.02,20,0.22,16.61,66.44,0,3,6,10,0.5,9,11,5,5,8,0.0,6,False
1576,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1577,0,1,1,0,0,0,1,0.09,0,1,1,2,1,0,11,4,1,1,29.28,11.78,4063.55,0.11,71,0.08,225.75,344.92,1,0,0,3,0.06,29,42,16,13,18,0.0,11,False
1578,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,3,0.5,0,0,0,0,2,0.0,0,False
1579,0,3,0,0,0,4,2,1.0,2,1,0,6,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,2,6,1.0,0,0,0,0,2,0.0,0,False
1580,0,3,1,0,0,4,2,1.0,2,2,1,5,1,0,0,0,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0,1,2,5,2.0,2,5,2,5,1,0.0,0,False
1581,1,1,1,0,0,0,1,0.17,0,1,1,2,1,0,6,0,1,1,15.93,4.5,322.65,0.02,20,0.22,17.92,71.7,1,0,0,3,0.11,9,11,6,6,9,0.0,6,False
1582,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,0.5,0,0,0,0,2,0.0,0,False
1583,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1584,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,3,0.5,2,5,2,5,2,0.0,0,False
1585,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44.0,19,False
1586,10,21,9,0,1,44,11,0.28,22,5,0,48,1,0,39,0,0,0,30.17,28.56,24609.46,0.29,156,0.04,1367.19,861.68,0,11,22,39,0.21,68,88,25,21,53,2.5,39,False
1587,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,0.5,3,6,3,6,2,0.0,0,False
1588,6,11,5,0,0,0,6,0.23,0,6,1,23,5,0,26,0,6,1,27.75,18.07,9063.48,0.17,108,0.06,503.53,501.54,0,0,0,19,0.17,46,62,14,11,35,0.0,26,False
1589,2,11,0,0,0,20,6,0.43,10,1,0,21,1,0,14,0,6,1,17.97,17.6,5565.94,0.11,72,0.06,309.22,316.25,0,5,10,17,0.33,32,40,10,11,18,0.0,14,False
1590,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1591,2,1,3,0,0,0,1,0.14,0,1,1,7,1,0,7,0,1,1,20.84,7.88,1292.2,0.05,42,0.13,71.79,164.09,1,0,0,8,0.09,18,24,8,7,11,0.0,7,False
1592,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1593,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1594,3,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,0.14,2,3,2,3,7,0.0,2,False
1595,2,3,0,2,0,4,2,0.18,2,1,0,6,1,0,9,1,0,0,12.13,11.0,1467.81,0.04,32,0.09,81.55,133.44,0,1,2,6,0.13,11,21,6,12,15,18.18,11,False
1596,0,3,0,0,0,0,2,1.0,0,1,0,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,5,0.13,0,0,0,0,15,0.0,0,False
1597,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1,0,0,3,0.5,2,5,2,5,2,0.0,0,False
1598,2,3,0,2,0,4,2,0.18,2,1,0,6,1,0,9,1,0,0,12.13,11.0,1467.81,0.04,32,0.09,81.55,133.44,0,1,2,6,0.13,11,21,6,12,15,18.18,11,False
1599,1,1,1,0,7,0,1,0.11,0,1,1,8,1,0,9,0,1,1,41.68,6.43,1722.6,0.09,62,0.16,95.7,267.96,1,0,0,9,0.05,30,32,14,6,19,43.75,9,False
1600,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,1.0,0,0,0,0,1,0.0,0,False
1601,1,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.2,2,3,2,3,5,0.0,2,False
1602,0,3,4,0,0,4,2,1.0,2,2,1,9,1,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,2,9,0.18,0,0,0,0,11,0.0,0,False
1603,0,1,2,0,0,0,1,1.0,0,1,1,3,1,0,0,0,1,1,7.33,4.5,148.5,0.01,11,0.22,8.25,33.0,1,0,0,4,1.0,3,8,2,6,1,0.0,0,False
1604,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,1.0,2,4,2,4,1,0.0,0,False
1605,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,0,0,2,0.25,1,4,1,4,4,0.0,2,False
1606,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1607,6,9,4,0,1,16,5,0.19,8,2,0,26,1,0,26,0,0,0,35.11,17.93,11294.45,0.21,120,0.06,627.47,629.75,0,4,8,23,0.14,55,65,23,15,35,3.7,26,False
1608,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.25,1,3,1,3,4,0.0,2,False
1609,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1610,2,3,3,0,0,4,2,0.2,2,2,1,7,1,0,10,0,2,1,24.0,4.67,522.66,0.04,28,0.21,29.04,112.0,0,1,2,7,0.14,12,16,9,7,14,0.0,10,False
1611,11,1,0,0,10,0,1,0.11,0,1,1,1,1,0,9,0,0,0,86.0,1.6,220.17,0.05,33,0.63,12.23,137.61,1,0,0,2,0.03,16,17,15,3,32,52.63,9,False
1612,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
1613,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1614,0,3,1,0,0,4,2,1.0,2,2,1,6,1,0,0,0,0,0,6.69,7.5,376.42,0.02,14,0.13,20.91,50.19,0,1,2,6,1.0,5,9,3,9,2,0.0,0,False
1615,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1616,1,5,1,0,0,8,3,0.33,4,3,1,12,1,0,9,0,0,0,14.69,11.7,2011.18,0.06,38,0.09,111.73,171.9,0,2,4,11,0.25,18,20,10,13,12,0.0,9,False
1617,3,3,1,0,20,4,2,0.22,2,2,1,7,1,0,9,0,0,0,13.2,6.67,586.67,0.03,22,0.15,32.59,88.0,0,1,2,7,0.06,8,14,6,10,34,68.97,9,False
1618,0,1,2,0,0,0,1,0.2,0,1,1,3,1,0,5,1,1,1,15.11,6.3,599.66,0.03,25,0.16,33.31,95.18,1,0,0,4,0.14,7,18,5,9,7,0.0,5,False
1619,3,5,7,0,2,8,3,0.2,4,3,1,15,1,0,15,0,0,0,35.66,6.3,1415.38,0.07,49,0.16,78.63,224.66,0,2,4,14,0.14,21,28,15,9,22,11.76,15,False
1620,0,1,3,0,0,0,1,1.0,0,1,1,4,1,0,0,0,1,1,8.3,6.0,298.97,0.02,15,0.17,16.61,49.83,1,0,0,5,0.5,3,12,2,8,2,0.0,0,False
1621,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,False
1622,8,5,3,4,3,8,3,0.08,4,3,1,16,1,0,34,0,0,0,41.8,21.67,19620.65,0.3,178,0.05,1090.04,905.57,0,2,4,15,0.06,70,108,21,13,51,17.07,38,True
1623,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1624,0,1,1,0,1,0,1,0.5,0,1,1,2,1,0,2,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,3,0.2,1,3,1,3,5,33.33,2,False
1625,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,0,False
1626,0,3,2,0,0,6,2,0.25,2,2,1,6,1,0,8,0,2,1,23.46,10.29,2485.24,0.08,52,0.1,138.07,241.48,0,2,3,6,0.2,19,33,12,13,10,0.0,8,False
1627,0,1,0,0,0,0,1,0.2,0,1,1,1,1,0,5,5,1,1,20.8,3.2,213.02,0.02,21,0.31,11.83,66.57,1,0,0,2,0.14,8,13,5,4,7,0.0,5,False
1628,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1629,23,1,11,14,27,0,1,0.03,0,1,1,18,1,0,17,0,1,1,164.39,4.2,2899.87,0.23,125,0.24,161.1,690.45,1,0,0,19,0.01,56,69,40,6,83,70.69,31,False
1630,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,0.5,2,3,2,3,2,0.0,0,False
1631,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,6.86,3.5,84.0,0.01,8,0.29,4.67,24.0,1,0,0,3,1.0,1,7,1,7,1,0.0,0,False
1632,0,3,3,0,0,0,2,0.2,0,2,1,8,1,0,10,0,2,1,13.4,7.0,656.36,0.03,24,0.14,36.46,93.77,0,0,0,8,0.17,7,17,5,10,12,0.0,10,False
1633,0,8,0,0,0,0,7,0.41,0,1,0,15,1,0,17,0,6,0,31.08,5.38,901.23,0.06,37,0.19,50.07,167.37,0,0,0,10,0.37,14,23,13,10,19,0.0,17,False
1634,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,0,0,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,1.0,3,4,3,4,1,0.0,0,False
1635,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,6.86,3.5,84.0,0.01,8,0.29,4.67,24.0,1,0,0,3,1.0,1,7,1,7,1,0.0,0,False
1636,20,3,3,1,0,4,2,0.14,2,2,1,12,1,0,13,0,1,0,22.45,12.07,3271.7,0.09,57,0.08,181.76,271.03,0,1,2,12,0.05,26,31,14,13,37,7.14,14,False
1637,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,8.3,6.67,369.01,0.02,16,0.15,20.5,55.35,1,0,0,2,0.5,5,11,3,8,2,0.0,0,False
1638,22,7,14,3,69,12,4,0.13,6,4,1,27,1,0,29,0,0,0,45.44,19.68,17598.33,0.3,161,0.05,977.68,894.29,0,3,6,25,0.03,58,103,28,19,125,71.29,32,False
1639,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1640,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,1,0,0,2,1.0,4,7,4,4,1,0.0,0,False
1641,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,0.33,0,1,0,1,3,0.0,1,False
1642,0,3,2,0,0,4,2,0.5,2,2,1,6,1,0,4,0,1,0,13.67,6.0,492.27,0.03,21,0.17,27.35,82.04,0,1,2,6,0.33,6,15,5,10,6,0.0,4,False
1643,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,2,0.5,2,4,2,4,2,0.0,0,False
1644,2,3,1,3,0,4,2,0.4,2,2,1,6,1,0,2,0,2,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0,1,2,6,0.22,5,9,4,7,9,60.0,5,False
1645,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,3,0.5,2,3,2,3,2,0.0,1,False
1646,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,2,1.0,0,0,0,0,1,0.0,0,False
1647,15,1,7,1,24,0,1,0.08,0,1,1,8,1,0,12,0,0,0,74.92,2.5,468.24,0.06,42,0.4,26.01,187.3,1,0,0,9,0.02,17,25,17,5,54,67.57,13,True
1648,0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,3,1.0,2,4,2,4,1,0.0,0,False
1649,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.33,1,3,1,3,3,0.0,0,False
1650,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1651,2,5,1,1,1,8,3,0.38,4,2,0,12,1,0,7,0,0,0,19.46,7.5,1094.61,0.05,35,0.13,60.81,145.95,0,2,4,11,0.23,15,20,9,9,13,22.22,8,False
1652,5,7,9,1,4,12,4,0.15,6,4,1,30,1,0,26,0,4,1,72.57,10.48,7975.84,0.25,142,0.1,443.1,760.77,0,3,6,28,0.11,65,77,31,10,38,16.12,27,False
1653,7,3,2,0,0,4,2,0.1,2,2,1,7,1,0,20,0,1,0,34.09,11.0,4124.71,0.12,78,0.09,229.15,374.97,0,1,2,7,0.05,34,44,17,11,42,0.0,20,False
1654,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1655,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1656,1,5,6,0,3,8,3,0.16,4,3,1,14,1,0,19,0,3,1,19.07,10.91,2270.01,0.07,46,0.09,126.11,208.08,0,2,4,13,0.12,20,26,11,12,25,13.64,19,False
1657,0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,0.25,1,3,1,3,4,0.0,2,False
1658,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1,0,0,2,1.0,2,3,2,3,1,0.0,0,False
1659,5,3,8,4,2,4,2,0.1,2,2,1,13,1,0,16,0,1,0,45.05,14.81,9887.86,0.22,123,0.07,549.33,667.43,0,1,2,13,0.07,50,73,27,16,29,27.27,20,False
1660,0,1,0,0,0,0,1,1.0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1661,1,3,4,0,2,4,2,0.17,2,2,1,8,1,0,12,0,2,1,14.73,8.94,1176.94,0.04,31,0.11,65.39,131.69,0,1,2,8,0.12,13,18,8,11,17,14.29,12,False
1662,1,1,0,0,0,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.1,11,18,7,7,10,0.0,7,False
1663,0,3,0,0,0,6,2,1.0,2,1,0,5,1,0,0,0,0,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,0,2,3,5,2.0,2,4,2,4,1,0.0,0,False
1664,0,3,1,0,0,4,2,1.0,2,2,1,5,1,0,0,0,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,0,1,2,5,2.0,2,5,2,5,1,0.0,0,False
