id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1720,1,0,1,1,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,2,0.2,1,5,1,5,5,66.67,2,False
1721,3,1,7,0,0,2,0.22,0,0.0,2,1.0,6,1,0,2,1,19.1,6.11,713.12,0.04,27,0.16,39.62,116.69,0.5,0,0,6,0.18,10,17,9,11,11,77.78,9,False
1722,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,3,15.95,2.5,99.66,0.01,12,0.4,5.54,39.86,1.0,0,0,3,0.17,5,7,5,5,6,50.0,2,False
1723,1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.2,2,6,2,6,5,50.0,2,False
1724,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.33,1,4,1,4,3,50.0,2,False
1725,1,2,3,2,0,1,0.25,0,0.0,1,1.0,3,1,0,1,2,12.22,8.1,801.83,0.03,26,0.12,44.55,98.99,1.0,0,0,4,0.13,9,17,5,9,8,83.33,4,False
1726,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1727,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.2,1,3,1,3,5,50.0,2,False
1728,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,2,5.81,8.0,372.06,0.02,14,0.13,20.67,46.51,1.0,0,0,3,0.5,4,10,2,8,2,0.0,1,False
1729,3,0,2,0,4,2,0.67,2,2.0,1,0.5,5,1,0,1,3,7.65,7.5,430.2,0.02,16,0.13,23.9,57.36,0.5,1,2,5,0.29,5,11,3,9,7,66.67,3,False
1730,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.33,1,4,1,4,3,50.0,2,False
1731,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,3,0.25,1,5,1,5,4,66.67,3,False
1732,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,False
1733,1,4,4,0,0,1,0.2,0,0.0,1,1.0,6,1,0,1,0,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,1.0,0,0,7,0.14,4,7,4,5,7,80.0,5,False
1734,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1735,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,0.25,2,4,2,4,4,50.0,2,False
1736,7,4,9,1,12,4,0.33,6,2.0,4,1.0,20,1,0,3,5,18.18,17.0,5255.28,0.1,63,0.06,291.96,309.13,0.25,3,6,18,0.24,26,37,13,17,17,76.92,12,False
1737,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,2,21.0,0.67,9.33,0.0,7,1.5,0.52,14.0,1.0,0,0,3,0.33,4,3,3,1,3,0.0,1,False
1738,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.25,2,4,2,4,4,50.0,2,False
1739,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1740,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,2,5.4,8.0,345.48,0.01,13,0.13,19.19,43.19,1.0,0,0,3,0.2,4,9,2,8,5,66.67,3,False
1741,9,0,40,8,16,5,0.11,8,2.0,1,0.2,20,1,0,4,3,21.96,95.0,198185.0,0.7,455,0.01,11010.28,2086.15,0.2,4,8,17,0.09,190,265,12,12,55,92.31,44,False
1742,3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,9,0.2,7.02,25.27,0.5,1,2,6,0.5,4,5,2,5,4,50.0,2,False
1743,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,0,4.0,0.5,1.0,0.0,2,2.0,0.06,2.0,1.0,0,0,3,1.0,1,1,1,1,1,0.0,0,False
1744,1,1,3,3,0,1,0.25,0,0.0,1,1.0,2,1,0,1,2,13.84,3.0,124.54,0.01,12,0.33,6.92,41.51,1.0,0,0,3,0.1,5,7,5,6,10,85.71,4,False
1745,3,2,4,0,4,2,0.4,2,2.0,2,1.0,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
1746,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,1.0,1,3,1,3,1,0.0,0,False
1747,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,3,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,1.0,0,0,3,0.25,4,7,4,6,4,66.67,3,False
1748,5,4,8,1,8,3,0.27,4,2.0,3,1.0,14,1,0,3,3,13.21,17.1,3863.67,0.08,47,0.06,214.65,225.95,0.33,2,4,13,0.2,19,28,10,18,15,75.0,11,False
1749,1,1,3,0,0,1,0.25,0,0.0,1,1.0,2,1,0,1,0,6.67,4.5,135.0,0.01,10,0.22,7.5,30.0,1.0,0,0,3,0.17,3,7,2,6,6,75.0,4,False
1750,5,0,9,0,8,3,0.25,4,2.0,1,0.33,8,1,0,3,4,9.59,13.5,1748.46,0.04,35,0.07,97.14,129.52,0.33,2,4,7,0.2,12,23,4,9,15,75.0,12,False
1751,3,1,7,3,4,2,0.22,2,2.0,1,0.5,8,1,0,2,4,19.63,10.05,1980.5,0.07,43,0.1,110.03,197.15,0.5,1,2,8,0.12,17,26,11,13,17,83.33,9,False
1752,9,7,16,0,16,5,0.24,8,2.0,5,1.0,21,5,1,5,3,20.23,19.69,7844.52,0.13,82,0.05,435.81,398.35,1.0,4,8,18,0.22,32,50,13,16,23,76.19,21,False
1753,3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,3.95,15.75,980.75,0.02,18,0.06,54.49,62.27,0.5,1,2,6,0.5,7,11,2,9,4,50.0,2,False
1754,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.25,3,4,3,4,4,50.0,2,False
1755,1,5,5,7,0,1,0.17,0,0.0,1,1.0,6,1,0,1,0,41.63,2.22,205.58,0.03,25,0.45,11.42,92.51,1.0,0,0,7,0.07,10,15,9,4,15,92.31,6,False
1756,1,1,1,4,4,1,0.5,2,2.0,1,1.0,2,1,0,1,2,11.24,4.0,179.89,0.01,13,0.25,9.99,44.97,1.0,1,2,3,0.13,3,10,3,8,8,83.33,2,False
1757,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,2,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1.0,0,0,2,0.33,4,7,4,7,3,50.0,2,False
1758,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,3,14.62,2.5,91.35,0.01,11,0.4,5.08,36.54,1.0,0,0,3,0.2,5,6,5,5,5,50.0,2,False
1759,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1760,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
1761,1,2,2,0,0,1,0.33,0,0.0,1,1.0,3,1,0,1,0,10.84,1.5,24.38,0.01,7,0.67,1.35,16.25,1.0,0,0,4,0.2,2,5,2,3,5,66.67,3,False
1762,1,2,1,0,0,1,0.5,0,0.0,1,1.0,3,1,0,1,0,7.24,2.5,45.24,0.01,7,0.4,2.51,18.09,1.0,0,0,4,0.33,1,6,1,5,3,50.0,2,False
1763,3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,9,0.2,7.02,25.27,0.5,1,2,6,0.5,4,5,2,5,4,50.0,2,False
1764,3,3,7,0,4,2,0.22,2,2.0,2,1.0,8,1,0,2,1,19.99,4.0,319.82,0.03,21,0.25,17.77,79.95,0.5,1,2,8,0.18,8,13,7,7,11,77.78,9,False
1765,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1766,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,2,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1.0,0,0,2,0.33,4,7,4,7,3,50.0,2,False
1767,3,2,3,7,4,2,0.5,2,2.0,2,1.0,6,1,0,1,0,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,0.5,1,2,6,0.15,6,11,5,8,13,90.91,4,False
1768,1,0,2,2,0,1,0.33,0,0.0,1,1.0,1,1,0,1,0,16.5,2.0,66.0,0.01,11,0.5,3.67,33.0,1.0,0,0,2,0.14,4,7,4,4,7,80.0,3,False
1769,3,2,4,0,4,2,0.4,2,2.0,2,1.0,7,1,0,1,1,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,0.5,1,2,7,0.29,6,10,5,8,7,80.0,5,False
1770,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,3,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,1.0,0,0,3,0.25,4,7,4,6,4,66.67,3,False
1771,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.5,1,3,1,3,2,0.0,0,False
1772,21,11,36,24,36,11,0.26,18,2.0,11,1.0,49,1,0,6,0,32.54,24.65,19784.27,0.27,147,0.04,1099.13,802.54,0.09,9,18,40,0.16,54,93,23,21,68,90.91,42,False
1773,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,1.0,1,4,1,4,1,0.0,0,False
1774,5,3,6,0,8,3,0.43,4,2.0,3,1.0,15,1,0,1,1,13.75,16.0,3521.25,0.07,48,0.06,195.63,220.08,0.33,2,4,14,0.33,16,32,8,16,9,85.71,7,False
1775,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1776,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,1,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,0.33,2,1,2,1,3,0.0,1,False
1777,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
1778,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1779,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,2,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1.0,0,0,3,0.25,3,6,3,6,4,50.0,2,False
1780,1,1,1,0,4,1,0.5,2,2.0,1,1.0,2,1,0,1,0,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1.0,1,2,3,0.25,1,6,1,6,4,50.0,2,False
1781,3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,0,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,0.5,1,2,6,0.4,4,7,4,6,5,66.67,3,False
1782,1,2,1,0,0,1,0.5,0,0.0,1,1.0,3,1,0,1,3,15.95,2.5,99.66,0.01,12,0.4,5.54,39.86,1.0,0,0,4,0.17,5,7,5,5,6,50.0,2,False
1783,3,1,2,0,6,2,0.67,2,3.0,1,0.5,6,1,0,1,3,9.09,8.8,704.0,0.03,20,0.11,39.11,80.0,0.5,2,3,6,0.33,8,12,5,11,6,66.67,3,False
1784,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
1785,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,8.72,4.0,139.48,0.01,11,0.25,7.75,34.87,1.0,0,0,3,1.0,4,7,3,6,1,0.0,0,False
1786,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,2,1.0,2,6,2,6,1,0.0,0,False
1787,7,6,13,0,12,4,0.24,6,2.0,3,0.75,22,1,0,4,1,19.75,11.45,2590.77,0.08,50,0.09,143.93,226.18,0.25,3,6,20,0.21,21,29,11,12,19,76.47,17,False
1788,5,0,9,0,8,3,0.3,4,2.0,1,0.33,10,3,1,1,2,17.11,7.7,1014.63,0.04,30,0.13,56.37,131.77,1.0,2,4,9,0.25,14,16,10,11,12,90.0,10,False
1789,3,0,4,0,4,2,0.4,2,2.0,1,0.5,6,1,0,1,2,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,0.5,1,2,6,0.29,4,7,2,5,7,80.0,5,False
1790,1,2,1,0,0,1,0.5,0,0.0,1,1.0,3,1,0,1,0,7.24,2.5,45.24,0.01,7,0.4,2.51,18.09,1.0,0,0,4,0.33,1,6,1,5,3,50.0,2,False
1791,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,6.74,3.75,94.75,0.01,9,0.27,5.26,25.27,1.0,0,0,2,1.0,3,6,2,5,1,0.0,0,False
1792,1,0,2,2,0,1,0.33,0,0.0,1,1.0,1,1,0,1,0,8.4,4.0,134.42,0.01,13,0.25,7.47,33.6,1.0,0,0,2,0.14,4,9,2,4,7,80.0,3,False
1793,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1794,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,3,0.17,2,6,2,6,6,50.0,2,False
1795,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
1796,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,3,0.25,1,4,1,4,4,50.0,2,False
1797,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1798,1,0,1,1,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,2,0.2,1,5,1,5,5,66.67,2,False
1799,9,3,10,0,12,5,0.42,4,3.0,3,0.6,16,5,1,2,2,17.53,13.85,3361.23,0.08,49,0.07,186.74,242.76,1.0,4,6,13,0.36,20,29,13,18,14,83.33,12,False
1800,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.33,2,4,2,4,3,50.0,2,False
1801,1,2,1,4,0,1,0.5,0,0.0,1,1.0,3,1,0,1,2,13.2,2.5,82.5,0.01,11,0.4,4.58,33.0,1.0,0,0,4,0.13,5,6,4,4,8,83.33,2,False
1802,1,3,2,0,0,1,0.33,0,0.0,1,1.0,5,1,0,1,1,17.41,3.5,213.31,0.02,17,0.29,11.85,60.94,1.0,0,0,6,0.2,7,10,6,6,5,66.67,3,False
1803,1,0,5,0,0,1,0.17,0,0.0,1,1.0,1,1,0,1,3,51.81,1.5,116.56,0.03,21,0.67,6.48,77.71,1.0,0,0,2,0.11,10,11,10,3,9,83.33,6,False
1804,21,15,31,3,34,11,0.31,16,2.13,8,0.73,53,5,0,4,0,35.37,18.78,12477.97,0.22,124,0.05,693.22,664.34,0.45,9,17,44,0.28,48,76,23,18,40,89.47,35,False
1805,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1806,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,0.0,0.0,0.0,0.0,5,0.0,0.0,11.61,1.0,0,0,2,1.0,0,5,0,5,1,0.0,0,False
1807,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,0.25,2,4,2,4,4,50.0,2,False
1808,5,0,1,0,8,3,1.5,2,4.0,1,0.33,7,1,0,1,2,5.89,13.5,1074.15,0.03,23,0.07,59.68,79.57,0.33,3,4,6,0.75,6,17,2,9,4,50.0,2,False
1809,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.25,1,4,1,4,4,50.0,2,False
1810,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
1811,9,5,18,2,16,5,0.24,8,2.0,4,0.8,22,4,0,3,3,18.05,15.33,4242.98,0.09,63,0.07,235.72,276.72,0.8,4,8,19,0.2,23,40,9,12,25,86.96,21,False
1812,3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,9,0.2,7.02,25.27,0.5,1,2,6,0.5,4,5,2,5,4,50.0,2,False
1813,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1814,1,0,2,0,0,1,0.33,0,0.0,1,1.0,1,1,0,1,2,6.74,3.75,94.75,0.01,9,0.27,5.26,25.27,1.0,0,0,2,0.2,3,6,2,5,5,66.67,3,False
1815,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.33,1,4,1,4,3,50.0,2,False
1816,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,1.0,2,4,2,4,1,0.0,0,False
1817,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1.0,0,0,3,1.0,2,5,2,5,1,0.0,0,False
1818,3,1,4,12,4,2,0.33,2,2.0,1,0.5,7,1,0,2,0,14.3,6.29,564.82,0.03,23,0.16,31.38,89.86,0.5,1,2,7,0.1,11,12,7,8,20,88.89,6,False
1819,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,2.67,1.5,6.0,0.0,4,0.67,0.33,4.0,1.0,0,0,2,1.0,3,1,1,1,1,0.0,0,False
1820,1,0,2,0,0,1,0.33,0,0.0,1,1.0,1,1,0,1,1,11.14,3.5,136.5,0.01,13,0.29,7.58,39.0,1.0,0,0,2,0.2,1,12,1,7,5,66.67,3,False
1821,1,0,1,1,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,7.24,2.5,45.24,0.01,7,0.4,2.51,18.09,1.0,0,0,2,0.2,1,6,1,5,5,66.67,2,False
1822,1,2,1,0,0,1,0.33,0,0.0,1,1.0,3,1,0,2,1,8.0,1.0,8.0,0.0,4,1.0,0.44,8.0,1.0,0,0,4,0.2,2,2,2,2,5,33.33,3,False
1823,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
1824,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,False
1825,1,3,1,0,0,1,0.5,0,0.0,1,1.0,4,1,0,1,3,22.94,2.5,143.4,0.02,16,0.4,7.97,57.36,1.0,0,0,5,0.17,7,9,7,5,6,50.0,2,False
1826,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1827,3,1,1,0,4,2,1.0,2,2.0,2,1.0,6,1,0,1,3,9.21,5.63,291.41,0.02,14,0.18,16.19,51.81,0.5,1,2,6,0.4,5,9,4,9,5,50.0,2,False
1828,11,8,20,5,20,6,0.25,10,2.0,5,0.83,34,1,0,4,1,20.14,22.1,9834.5,0.15,89,0.05,546.36,445.0,0.17,5,10,30,0.19,39,50,15,17,31,86.21,24,False
1829,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,2,0,2,0,1,0.0,0,False
1830,1,1,2,0,0,1,0.33,0,0.0,1,1.0,2,1,0,1,2,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1.0,0,0,3,0.25,3,6,3,6,4,66.67,3,False
1831,1,2,7,4,0,1,0.13,0,0.0,1,1.0,7,1,0,1,0,32.99,4.5,668.08,0.05,38,0.22,37.12,148.46,1.0,0,0,8,0.07,18,20,10,5,14,91.67,8,False
1832,7,3,13,1,12,4,0.27,6,2.0,3,0.75,20,1,0,2,1,11.84,26.39,8245.95,0.1,65,0.04,458.11,312.48,0.25,3,6,18,0.22,25,40,9,19,18,87.5,15,False
1833,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,2,0.33,3,5,3,5,3,50.0,2,False
1834,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,1.0,2,1,2,1,1,0.0,0,False
1835,3,2,4,0,4,2,0.29,2,2.0,2,1.0,7,1,0,3,1,7.35,8.0,470.48,0.02,17,0.13,26.14,58.81,0.5,1,2,7,0.22,6,11,3,8,9,57.14,7,False
1836,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
1837,1,0,3,0,0,1,0.25,0,0.0,1,1.0,1,1,0,1,1,27.47,1.5,61.81,0.01,13,0.67,3.43,41.21,1.0,0,0,2,0.17,6,7,6,3,6,75.0,4,False
1838,9,2,6,0,12,5,0.71,4,3.0,4,0.8,16,5,1,1,1,7.87,15.0,1770.42,0.04,31,0.07,98.36,118.03,1.0,4,6,13,0.56,12,19,4,10,9,85.71,7,False
1839,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,2,1.0,0,0,0,0,1,0.0,0,False
1840,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
1841,3,2,4,0,4,2,0.4,2,2.0,2,1.0,7,1,0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
1842,1,0,4,0,0,1,0.2,0,0.0,1,1.0,1,1,0,1,4,13.46,9.33,1172.67,0.04,33,0.11,65.15,125.64,1.0,0,0,2,0.13,14,19,6,8,8,80.0,5,False
1843,1,0,3,0,0,1,0.25,0,0.0,1,1.0,1,1,0,1,1,27.47,1.5,61.81,0.01,13,0.67,3.43,41.21,1.0,0,0,2,0.17,6,7,6,3,6,75.0,4,False
1844,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,2,1.0,0,0,0,0,1,0.0,0,False
1845,1,1,1,0,0,1,0.5,0,0.0,1,1.0,2,1,0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,1.0,0,0,3,0.25,5,9,4,7,4,50.0,2,False
1846,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1.0,0,0,3,1.0,2,5,2,5,1,0.0,0,False
1847,7,3,14,1,12,4,0.25,6,2.0,3,0.75,21,1,0,2,1,11.91,27.44,8971.59,0.11,68,0.04,498.42,326.9,0.25,3,6,19,0.21,26,42,9,19,19,88.24,16,False
1848,1,1,1,1,0,1,0.5,0,0.0,1,1.0,2,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,3,0.25,1,4,1,4,4,66.67,2,False
1849,67,12,106,18,100,35,0.28,38,2.63,26,0.74,143,26,0,19,3,72.43,57.44,238951.09,1.39,610,0.02,13275.06,4160.31,0.74,31,50,110,0.24,256,354,78,35,146,86.71,125,False
