loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects,id
22.0,5.0,3.0,2.0,50.0,242.9,0.07,14.17,17.15,3441.07,0.08,191.17,16,1,3,0,17.0,12.0,30.0,20.0,9.0,False,9374
23.0,3.0,1.0,3.0,51.0,245.18,0.11,9.1,26.94,2231.09,0.08,123.95,17,1,1,0,13.0,15.0,30.0,21.0,5.0,False,9375
7.0,1.0,1.0,1.0,17.0,60.94,0.4,2.5,24.38,152.36,0.02,8.46,4,0,1,0,5.0,7.0,10.0,7.0,1.0,False,9376
198.0,46.0,19.0,17.0,901.0,6024.54,0.01,100.31,60.06,604291.69,2.0,33571.76,153,12,31,0,44.0,59.0,632.0,269.0,79.0,False,9377
15.0,2.0,1.0,1.0,30.0,114.22,0.15,6.5,17.57,742.43,0.04,41.25,12,0,1,0,7.0,7.0,17.0,13.0,3.0,False,9378
22.0,1.0,1.0,1.0,106.0,479.5,0.14,7.22,66.39,3463.04,0.16,192.39,19,1,0,0,5.0,18.0,54.0,52.0,1.0,False,9379
4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0,5.0,3.0,6.0,3.0,1.0,False,9380
22.0,1.0,1.0,1.0,106.0,465.59,0.12,8.13,57.3,3782.88,0.16,210.16,19,1,0,0,5.0,16.0,54.0,52.0,1.0,False,9381
22.0,1.0,1.0,1.0,106.0,479.5,0.14,7.22,66.39,3463.04,0.16,192.39,19,1,0,0,5.0,18.0,54.0,52.0,1.0,False,9382
4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0,5.0,3.0,6.0,3.0,1.0,False,9383
18.0,4.0,4.0,4.0,79.0,371.33,0.06,17.73,20.95,6582.75,0.12,365.71,10,3,3,0,15.0,11.0,53.0,26.0,7.0,False,9384
23.0,5.0,5.0,3.0,94.0,465.69,0.08,12.32,37.81,5735.39,0.16,318.63,18,1,2,0,12.0,19.0,55.0,39.0,9.0,False,9385
22.0,7.0,1.0,1.0,63.0,296.13,0.18,5.71,51.86,1691.05,0.1,93.95,14,0,3,3,7.0,19.0,32.0,31.0,13.0,False,9386
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,False,9387
6.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3,0,1,0,3.0,4.0,5.0,4.0,1.0,False,9388
45.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,False,9389
7.0,3.0,3.0,1.0,23.0,99.4,0.16,6.11,16.27,607.47,0.03,33.75,6,0,1,0,11.0,9.0,13.0,10.0,5.0,False,9390
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False,9391
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False,9392
16.0,5.0,5.0,5.0,67.0,318.58,0.06,16.14,19.72,5146.25,0.11,285.9,13,0,1,0,14.0,13.0,37.0,30.0,9.0,False,9393
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False,9394
29.0,5.0,1.0,2.0,84.0,430.86,0.05,19.59,22.0,8439.78,0.14,468.88,19,1,4,2,18.0,17.0,47.0,37.0,9.0,False,9395
46.0,5.0,1.0,4.0,124.0,575.84,0.03,30.0,19.19,17275.15,0.19,959.73,38,1,5,0,15.0,10.0,84.0,40.0,9.0,False,9396
51.0,8.0,4.0,6.0,127.0,623.18,0.03,32.25,19.32,20097.4,0.21,1116.52,39,5,4,0,18.0,12.0,84.0,43.0,15.0,False,9397
23.0,4.0,1.0,2.0,46.0,216.22,0.13,7.71,28.03,1667.98,0.07,92.67,16,0,4,0,12.0,14.0,28.0,18.0,7.0,False,9398
34.0,3.0,1.0,3.0,135.0,723.27,0.08,13.0,55.64,9402.5,0.24,522.36,25,0,5,0,13.0,28.0,79.0,56.0,5.0,False,9399
97.0,11.0,5.0,6.0,375.0,2241.48,0.03,32.6,68.75,73077.34,0.75,4059.85,75,7,11,0,19.0,44.0,224.0,151.0,21.0,False,9400
4.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2,0,0,0,4.0,5.0,6.0,5.0,1.0,False,9401
4.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2,0,0,0,5.0,4.0,6.0,4.0,1.0,False,9402
5.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,0,0,4.0,3.0,5.0,3.0,1.0,False,9403
4.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2,0,0,0,6.0,2.0,6.0,2.0,1.0,False,9404
6.0,2.0,1.0,1.0,21.0,77.71,0.15,6.75,11.51,524.54,0.03,29.14,4,0,0,0,9.0,4.0,15.0,6.0,3.0,False,9405
5.0,1.0,1.0,1.0,7.0,18.09,0.5,2.0,9.05,36.19,0.01,2.0,3,0,0,0,4.0,2.0,5.0,2.0,1.0,False,9406
44.0,6.0,6.0,2.0,152.0,808.93,0.04,25.5,31.72,20627.79,0.27,1145.99,40,0,2,0,17.0,23.0,84.0,69.0,11.0,False,9407
74.0,7.0,1.0,4.0,256.0,1444.83,0.06,17.35,83.29,25062.19,0.48,1392.34,65,0,7,0,11.0,39.0,133.0,123.0,13.0,False,9408
17.0,5.0,3.0,2.0,33.0,147.16,0.09,11.38,12.94,1673.96,0.05,93.0,13,0,2,0,14.0,8.0,20.0,13.0,9.0,False,9409
114.0,15.0,8.0,5.0,440.0,2609.52,0.02,65.91,39.59,171998.36,0.87,9555.46,90,10,9,2,27.0,34.0,274.0,166.0,29.0,False,9410
27.0,8.0,8.0,7.0,87.0,418.24,0.08,13.13,31.87,5489.4,0.14,304.97,21,1,2,1,12.0,16.0,52.0,35.0,15.0,False,9411
17.0,2.0,1.0,2.0,44.0,206.82,0.13,7.7,26.86,1592.51,0.07,88.47,11,0,3,1,11.0,15.0,23.0,21.0,3.0,False,9412
43.0,15.0,15.0,13.0,183.0,980.43,0.04,22.72,43.15,22275.42,0.33,1237.52,37,0,2,2,16.0,25.0,112.0,71.0,29.0,False,9413
35.0,14.0,14.0,13.0,144.0,720.0,0.05,19.16,37.58,13793.68,0.24,766.32,29,1,2,1,13.0,19.0,88.0,56.0,27.0,False,9414
18.0,2.0,1.0,1.0,33.0,147.16,0.14,7.0,21.02,1030.13,0.05,57.23,13,0,2,1,11.0,11.0,19.0,14.0,3.0,False,9415
17.0,2.0,1.0,2.0,44.0,206.82,0.13,7.7,26.86,1592.51,0.07,88.47,11,0,3,1,11.0,15.0,23.0,21.0,3.0,False,9416
44.0,8.0,8.0,6.0,155.0,865.67,0.05,21.62,40.04,18716.36,0.29,1039.8,34,2,5,1,19.0,29.0,89.0,66.0,15.0,False,9417
31.0,11.0,11.0,10.0,116.0,569.2,0.07,15.33,37.12,8727.72,0.19,484.87,25,1,2,1,12.0,18.0,70.0,46.0,21.0,False,9418
23.0,3.0,1.0,2.0,48.0,230.75,0.13,7.88,29.3,1817.18,0.08,100.95,18,0,2,1,12.0,16.0,27.0,21.0,5.0,False,9419
37.0,14.0,14.0,13.0,160.0,845.66,0.06,17.64,47.94,14917.52,0.28,828.75,32,0,2,1,14.0,25.0,97.0,63.0,27.0,False,9420
17.0,2.0,1.0,2.0,44.0,206.82,0.13,7.7,26.86,1592.51,0.07,88.47,11,0,3,1,11.0,15.0,23.0,21.0,3.0,False,9421
23.0,2.0,1.0,2.0,48.0,220.08,0.12,8.46,26.01,1862.2,0.07,103.46,17,0,2,1,11.0,13.0,28.0,20.0,3.0,False,9422
23.0,2.0,1.0,2.0,58.0,272.63,0.11,8.8,30.98,2399.1,0.09,133.28,17,0,2,1,11.0,15.0,34.0,24.0,3.0,False,9423
23.0,2.0,1.0,2.0,53.0,246.12,0.12,8.64,28.48,2127.22,0.08,118.18,17,0,2,1,11.0,14.0,31.0,22.0,3.0,False,9424
30.0,5.0,1.0,1.0,66.0,275.22,0.08,12.5,22.02,3440.19,0.09,191.12,26,0,2,0,9.0,9.0,41.0,25.0,9.0,False,9425
29.0,4.0,1.0,4.0,93.0,469.13,0.07,14.37,32.65,6740.64,0.16,374.48,25,1,1,0,14.0,19.0,54.0,39.0,7.0,False,9426
35.0,5.0,1.0,5.0,113.0,579.61,0.06,18.0,32.2,10432.96,0.19,579.61,30,2,1,0,15.0,20.0,65.0,48.0,9.0,False,9427
7.0,1.0,1.0,1.0,13.0,46.6,0.33,3.0,15.53,139.81,0.02,7.77,3,1,0,0,6.0,6.0,7.0,6.0,1.0,False,9428
12.0,2.0,1.0,2.0,27.0,110.36,0.19,5.33,20.69,588.59,0.04,32.7,8,0,2,0,8.0,9.0,15.0,12.0,3.0,False,9429
13.0,3.0,1.0,1.0,19.0,68.11,0.25,4.0,17.03,272.46,0.02,15.14,9,2,0,0,6.0,6.0,11.0,8.0,5.0,False,9430
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False,9431
24.0,3.0,3.0,2.0,100.0,480.74,0.06,16.0,30.05,7691.77,0.16,427.32,20,0,2,0,14.0,14.0,68.0,32.0,5.0,False,9432
50.0,9.0,1.0,5.0,149.0,758.03,0.04,28.0,27.07,21224.89,0.25,1179.16,39,1,8,0,16.0,18.0,86.0,63.0,17.0,False,9433
17.0,1.0,1.0,1.0,80.0,339.83,0.1,9.82,34.61,3336.55,0.11,185.36,10,0,4,1,8.0,11.0,53.0,27.0,1.0,False,9434
16.0,3.0,1.0,2.0,37.0,165.0,0.17,5.83,28.29,962.49,0.05,53.47,14,0,0,0,10.0,12.0,23.0,14.0,4.0,False,9435
32.0,5.0,1.0,5.0,113.0,554.48,0.06,16.67,33.27,9241.31,0.18,513.4,29,0,1,0,12.0,18.0,63.0,50.0,6.0,False,9436
32.0,5.0,1.0,5.0,113.0,554.48,0.06,16.67,33.27,9241.31,0.18,513.4,29,0,1,0,12.0,18.0,63.0,50.0,6.0,False,9437
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9438
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9439
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9440
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9441
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9442
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9443
5.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,3,0,0,0,7.0,3.0,8.0,4.0,1.0,False,9444
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9445
7.0,2.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,5,0,0,0,4.0,3.0,5.0,3.0,3.0,False,9446
5.0,1.0,1.0,1.0,8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,0,0,4.0,3.0,5.0,3.0,1.0,False,9447
13.0,3.0,1.0,1.0,30.0,117.21,0.13,7.43,15.78,870.68,0.04,48.37,10,0,1,0,8.0,7.0,17.0,13.0,5.0,False,9448
11.0,2.0,1.0,2.0,45.0,208.97,0.18,5.63,37.15,1175.48,0.07,65.3,7,0,2,0,9.0,16.0,25.0,20.0,3.0,False,9449
11.0,2.0,1.0,2.0,43.0,197.15,0.18,5.7,34.59,1123.77,0.07,62.43,6,0,3,0,9.0,15.0,24.0,19.0,3.0,False,9450
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,False,9451
37.0,4.0,4.0,4.0,124.0,645.97,0.08,13.27,48.68,8572.59,0.22,476.25,25,5,5,0,13.0,24.0,75.0,49.0,7.0,False,9452
35.0,7.0,1.0,6.0,60.0,271.41,0.18,5.47,49.63,1484.29,0.09,82.46,29,0,3,1,7.0,16.0,35.0,25.0,13.0,False,9453
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False,9454
14.0,3.0,1.0,3.0,33.0,125.64,0.12,8.67,14.5,1088.9,0.04,60.49,12,0,0,0,8.0,6.0,20.0,13.0,5.0,False,9455
23.0,4.0,3.0,3.0,31.0,133.98,0.14,7.33,18.27,982.52,0.04,54.58,10,8,2,0,11.0,9.0,19.0,12.0,7.0,False,9456
17.0,4.0,3.0,2.0,35.0,162.53,0.09,11.25,14.45,1828.52,0.05,101.58,11,0,3,0,15.0,10.0,20.0,15.0,7.0,False,9457
11.0,3.0,1.0,3.0,22.0,83.76,0.22,4.5,18.61,376.93,0.03,20.94,9,0,0,0,7.0,7.0,13.0,9.0,5.0,False,9458
6.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,3,0,1,0,6.0,4.0,7.0,4.0,1.0,False,9459
29.0,6.0,1.0,2.0,57.0,282.39,0.09,10.67,26.47,3012.15,0.09,167.34,21,0,5,1,16.0,15.0,37.0,20.0,7.0,False,9460
4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0,5.0,3.0,6.0,3.0,1.0,False,9461
7.0,1.0,1.0,1.0,16.0,57.36,0.4,2.5,22.94,143.4,0.02,7.97,3,0,2,0,5.0,7.0,9.0,7.0,1.0,False,9462
64.0,8.0,5.0,6.0,295.0,1776.6,0.03,30.78,57.71,54690.97,0.59,3038.39,50,8,6,0,21.0,44.0,166.0,129.0,15.0,False,9463
27.0,8.0,8.0,7.0,85.0,412.93,0.07,13.81,29.9,5703.57,0.14,316.87,19,2,3,1,13.0,16.0,51.0,34.0,15.0,False,9464
37.0,14.0,14.0,13.0,160.0,845.66,0.06,17.64,47.94,14917.52,0.28,828.75,32,0,2,1,14.0,25.0,97.0,63.0,27.0,False,9465
17.0,2.0,1.0,2.0,44.0,206.82,0.13,7.7,26.86,1592.51,0.07,88.47,11,0,3,1,11.0,15.0,23.0,21.0,3.0,False,9466
22.0,2.0,1.0,2.0,45.0,206.32,0.12,8.03,25.67,1658.52,0.07,92.14,16,0,2,1,11.0,13.0,26.0,19.0,3.0,False,9467
22.0,2.0,1.0,2.0,55.0,258.51,0.12,8.43,30.66,2180.22,0.09,121.12,16,0,2,1,11.0,15.0,32.0,23.0,3.0,False,9468
22.0,2.0,1.0,2.0,50.0,232.19,0.12,8.25,28.14,1915.59,0.08,106.42,16,0,2,1,11.0,14.0,29.0,21.0,3.0,False,9469
76.0,10.0,1.0,8.0,162.0,837.53,0.04,24.4,34.32,20435.68,0.28,1135.32,43,15,9,7,16.0,20.0,101.0,61.0,19.0,False,9470
25.0,3.0,1.0,2.0,50.0,242.9,0.12,8.11,29.92,1971.77,0.08,109.54,14,4,4,1,12.0,17.0,27.0,23.0,5.0,False,9471
55.0,8.0,1.0,7.0,137.0,718.97,0.04,22.26,32.29,16005.55,0.24,889.2,31,4,11,6,17.0,21.0,82.0,55.0,15.0,False,9472
12.0,3.0,1.0,2.0,30.0,114.22,0.15,6.5,17.57,742.43,0.04,41.25,10,0,0,0,7.0,7.0,17.0,13.0,5.0,False,9473
5.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,3,0,0,0,4.0,4.0,7.0,6.0,1.0,False,9474
5.0,1.0,1.0,1.0,17.0,62.91,0.4,2.5,25.16,157.27,0.02,8.74,3,0,0,0,5.0,8.0,9.0,8.0,1.0,False,9475
17.0,1.0,1.0,1.0,107.0,477.16,0.05,19.0,25.11,9066.02,0.16,503.67,12,0,2,0,11.0,11.0,69.0,38.0,1.0,False,9476
17.0,2.0,1.0,1.0,37.0,169.64,0.13,8.0,21.21,1357.15,0.06,75.4,11,0,3,1,12.0,12.0,21.0,16.0,3.0,False,9477
54.0,13.0,12.0,8.0,171.0,944.53,0.04,24.75,38.16,23377.1,0.31,1298.73,39,5,6,2,18.0,28.0,94.0,77.0,25.0,False,9478
7.0,2.0,1.0,1.0,15.0,55.51,0.18,5.63,9.87,312.22,0.02,17.35,5,0,0,0,9.0,4.0,10.0,5.0,3.0,False,9479
5.0,1.0,1.0,1.0,15.0,47.55,0.27,3.75,12.68,178.31,0.02,9.91,3,0,0,0,5.0,4.0,9.0,6.0,1.0,False,9480
4.0,1.0,1.0,1.0,11.0,36.54,0.4,2.5,14.62,91.35,0.01,5.08,2,0,0,0,5.0,5.0,6.0,5.0,1.0,False,9481
11.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9482
24.0,2.0,1.0,2.0,91.0,437.47,0.08,12.29,35.58,5378.3,0.15,298.79,20,0,2,0,11.0,17.0,53.0,38.0,3.0,False,9483
26.0,3.0,1.0,2.0,65.0,330.69,0.11,8.98,36.84,2968.29,0.11,164.91,18,1,4,1,13.0,21.0,36.0,29.0,5.0,False,9484
10.0,2.0,1.0,2.0,27.0,105.49,0.13,8.0,13.19,843.89,0.04,46.88,7,0,1,0,8.0,7.0,13.0,14.0,3.0,False,9485
26.0,5.0,1.0,3.0,53.0,246.12,0.09,11.54,21.33,2839.9,0.08,157.77,20,0,4,0,12.0,13.0,28.0,25.0,9.0,False,9486
29.0,5.0,4.0,5.0,100.0,516.99,0.08,12.72,40.65,6574.8,0.17,365.27,23,0,4,0,13.0,23.0,55.0,45.0,9.0,False,9487
11.0,2.0,1.0,2.0,23.0,85.11,0.26,3.86,22.07,328.28,0.03,18.24,8,0,1,0,6.0,7.0,14.0,9.0,3.0,False,9488
40.0,5.0,1.0,5.0,99.0,503.66,0.07,15.05,33.47,7580.07,0.17,421.11,33,1,4,0,14.0,20.0,56.0,43.0,9.0,False,9489
46.0,8.0,6.0,3.0,99.0,523.25,0.09,10.75,48.67,5624.99,0.17,312.5,41,0,5,0,13.0,26.0,56.0,43.0,15.0,False,9490
5.0,1.0,1.0,1.0,9.0,25.27,0.38,2.67,9.47,67.38,0.01,3.74,3,0,0,0,4.0,3.0,5.0,4.0,1.0,False,9491
27.0,5.0,1.0,1.0,78.0,352.84,0.09,11.57,30.49,4082.84,0.12,226.82,24,0,1,0,9.0,14.0,42.0,36.0,9.0,False,9492
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False,9493
46.0,4.0,1.0,3.0,170.0,910.78,0.07,14.48,62.88,13191.19,0.3,732.84,34,3,7,0,11.0,30.0,91.0,79.0,7.0,False,9494
5.0,1.0,1.0,1.0,17.0,62.91,0.4,2.5,25.16,157.27,0.02,8.74,3,0,0,0,5.0,8.0,9.0,8.0,1.0,False,9495
5.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,3,0,0,0,6.0,4.0,7.0,4.0,1.0,False,9496
5.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,3,0,0,0,6.0,4.0,7.0,4.0,1.0,False,9497
5.0,1.0,1.0,1.0,13.0,43.19,0.5,2.0,21.59,86.37,0.01,4.8,3,0,0,0,4.0,6.0,7.0,6.0,1.0,False,9498
34.0,4.0,1.0,4.0,101.0,509.48,0.15,6.46,78.85,3292.05,0.17,182.89,29,0,3,0,7.0,26.0,53.0,48.0,7.0,False,9499
29.0,5.0,1.0,4.0,107.0,553.18,0.08,12.86,43.03,7112.34,0.18,395.13,22,0,5,0,15.0,21.0,71.0,36.0,9.0,False,9500
8.0,2.0,1.0,2.0,14.0,46.51,0.19,5.25,8.86,244.16,0.02,13.56,6,0,0,0,6.0,4.0,7.0,7.0,3.0,False,9501
8.0,2.0,1.0,1.0,14.0,44.38,0.32,3.12,14.2,138.68,0.01,7.7,6,0,0,0,5.0,4.0,9.0,5.0,3.0,False,9502
95.0,24.0,12.0,9.0,586.0,3966.16,0.03,37.65,105.35,149321.05,1.32,8295.61,86,1,8,0,25.0,84.0,333.0,253.0,47.0,False,9503
51.0,7.0,1.0,5.0,91.0,446.53,0.09,11.29,39.55,5041.06,0.15,280.06,36,6,7,0,11.0,19.0,52.0,39.0,13.0,False,9504
47.0,5.0,1.0,5.0,147.0,747.86,0.05,21.35,35.03,15966.75,0.25,887.04,41,0,4,0,14.0,20.0,86.0,61.0,9.0,False,9505
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9506
62.0,9.0,6.0,4.0,158.0,835.09,0.04,22.61,36.94,18880.38,0.28,1048.91,42,11,7,2,16.0,23.0,93.0,65.0,17.0,False,9507
20.0,2.0,1.0,1.0,104.0,549.68,0.1,10.02,54.87,5506.63,0.18,305.92,16,0,3,1,11.0,28.0,53.0,51.0,3.0,False,9508
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False,9509
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,1,0,4.0,2.0,4.0,2.0,1.0,False,9510
11.0,2.0,1.0,2.0,32.0,133.44,0.09,11.0,12.13,1467.81,0.04,81.55,7,0,1,0,11.0,7.0,18.0,14.0,3.0,False,9511
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,1,0,4.0,2.0,4.0,2.0,1.0,False,9512
18.0,3.0,1.0,3.0,55.0,245.27,0.07,13.8,17.77,3384.71,0.08,188.04,12,0,3,0,12.0,10.0,32.0,23.0,5.0,False,9513
7.0,1.0,1.0,1.0,16.0,48.0,0.33,3.0,16.0,144.0,0.02,8.0,4,0,0,0,4.0,4.0,10.0,6.0,1.0,False,9514
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,1,0,4.0,2.0,4.0,2.0,1.0,False,9515
15.0,1.0,1.0,1.0,63.0,299.56,0.08,12.92,23.18,3871.21,0.1,215.07,11,0,2,0,14.0,13.0,39.0,24.0,1.0,False,9516
13.0,1.0,1.0,1.0,41.0,174.17,0.14,7.2,24.19,1253.99,0.06,69.67,9,0,1,0,9.0,10.0,25.0,16.0,1.0,False,9517
10.0,2.0,1.0,1.0,29.0,116.0,0.12,8.36,13.88,969.43,0.04,53.86,7,0,1,0,9.0,7.0,16.0,13.0,3.0,False,9518
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,1,0,4.0,2.0,4.0,2.0,1.0,False,9519
45.0,6.0,3.0,4.0,201.0,1134.42,0.05,20.79,54.58,23579.63,0.38,1309.98,42,0,2,1,15.0,35.0,104.0,97.0,11.0,False,9520
13.0,3.0,3.0,2.0,29.0,123.19,0.17,5.85,21.06,720.66,0.04,40.04,11,0,0,0,9.0,10.0,16.0,13.0,5.0,False,9521
25.0,5.0,1.0,4.0,77.0,370.17,0.05,18.5,20.01,6848.08,0.12,380.45,18,0,5,0,14.0,14.0,40.0,37.0,9.0,False,9522
4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0,5.0,3.0,6.0,3.0,1.0,False,9523
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,False,9524
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False,9525
10.0,4.0,1.0,4.0,49.0,211.77,0.13,8.0,26.47,1694.2,0.07,94.12,7,0,1,0,8.0,12.0,25.0,24.0,7.0,False,9526
26.0,3.0,1.0,2.0,65.0,330.69,0.11,8.98,36.84,2968.29,0.11,164.91,18,1,4,1,13.0,21.0,36.0,29.0,5.0,False,9527
33.0,3.0,1.0,3.0,75.0,390.71,0.16,6.11,63.93,2387.67,0.13,132.65,25,0,3,3,10.0,27.0,42.0,33.0,5.0,False,9528
7.0,2.0,1.0,1.0,18.0,72.0,0.19,5.14,14.0,370.29,0.02,20.57,4,0,1,0,9.0,7.0,10.0,8.0,3.0,False,9529
16.0,6.0,3.0,3.0,41.0,185.47,0.08,13.13,14.13,2434.24,0.06,135.24,12,0,2,0,15.0,8.0,27.0,14.0,11.0,False,9530
9.0,2.0,1.0,2.0,14.0,50.19,0.29,3.5,14.34,175.66,0.02,9.76,6,0,1,0,7.0,5.0,9.0,5.0,3.0,False,9531
24.0,2.0,1.0,2.0,39.0,171.3,0.16,6.38,26.87,1092.04,0.06,60.67,12,5,5,0,9.0,12.0,22.0,17.0,3.0,False,9532
9.0,1.0,1.0,1.0,27.0,116.69,0.11,9.29,12.57,1083.57,0.04,60.2,6,0,1,0,13.0,7.0,17.0,10.0,1.0,False,9533
11.0,2.0,1.0,1.0,27.0,108.0,0.17,6.0,18.0,648.0,0.04,36.0,8,0,1,0,8.0,8.0,15.0,12.0,3.0,False,9534
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9535
10.0,2.0,1.0,2.0,21.0,75.28,0.16,6.3,11.95,474.29,0.03,26.35,7,0,1,0,7.0,5.0,12.0,9.0,3.0,False,9536
5.0,1.0,1.0,1.0,12.0,41.51,0.25,4.0,10.38,166.05,0.01,9.23,3,0,0,0,8.0,3.0,9.0,3.0,1.0,False,9537
18.0,4.0,1.0,3.0,33.0,134.89,0.15,6.67,20.23,899.24,0.04,49.96,11,0,5,0,8.0,9.0,18.0,15.0,7.0,False,9538
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3.0,2.0,3.0,2.0,1.0,False,9539
5.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False,9540
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False,9541
8.0,1.0,1.0,1.0,17.0,62.91,0.24,4.08,15.41,256.87,0.02,14.27,5,0,1,0,7.0,6.0,10.0,7.0,1.0,False,9542
28.0,3.0,1.0,3.0,47.0,162.59,0.1,10.2,15.94,1658.45,0.05,92.14,24,0,2,0,6.0,5.0,30.0,17.0,5.0,False,9543
